Machine Name,Server IP Addresses,Discovery Source,Server Host Type,SQL Instance,SQL Database name,Database size (MB),Compatibility Level,DB Status,SQL Version,SQL Edition,Total DB size (MB),Failover Cluster,Availability Group,Server Cores,Server Storage,Server Memory (MB),Server Disks,Operating System,Last updated time,First discovered time
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSW,OLCCData,32407 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),466045 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:13 AM,2/11/2025 8:43:14 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSWACQ,OLRDaybreak,62 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),219555 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:35 AM,2/11/2025 8:43:23 PM
HICU6501C,192.168.130.174;fe80::75cb:a12d:62bc:30eb;192.168.130.173;fe80::de5:f28c:1d33:3f2d;10.17.17.178;10.17.17.170;10.17.17.165;10.17.17.163;10.17.17.150;10.17.17.137;10.17.17.102;fe80::c88b:e444:5d26:ae78,HICU6501C,Physical,ECOM,DBA,160 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),235542 MB,Yes,No,24,7180.75667381287 GB,524015 MB,18,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:36 AM,2/11/2025 8:43:29 PM
HICS6500A,192.168.130.216;fe80::b1b0:6531:be49:f5d9;192.168.130.217;fe80::a3:7202:14c3:3cf0;169.254.2.128;fe80::cf8:efde:cf45:ad48;10.17.19.180;10.17.19.177;10.17.19.134;10.17.19.43;10.17.19.15;10.17.19.10;10.17.19.9;10.17.19.175;fe80::481a:f40e:f21e:58ec,HICS6500A,Physical,STG4,DBA,109 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),994 MB,Yes,No,28,13072.7524924278 GB,524015 MB,29,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:37 AM,2/11/2025 8:43:34 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_falcon_db,19 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:32 AM,2/11/2025 8:43:39 PM
HICS6500A,192.168.130.216;fe80::b1b0:6531:be49:f5d9;192.168.130.217;fe80::a3:7202:14c3:3cf0;169.254.2.128;fe80::cf8:efde:cf45:ad48;10.17.19.180;10.17.19.177;10.17.19.134;10.17.19.43;10.17.19.15;10.17.19.10;10.17.19.9;10.17.19.175;fe80::481a:f40e:f21e:58ec,HICS6500A,Physical,STG4,OLCCTempData,475 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),994 MB,Yes,No,28,13072.7524924278 GB,524015 MB,29,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:26 AM,2/11/2025 8:43:46 PM
HICP6561A,169.254.1.236;fe80::38c2:239d:d9eb:6a9b;192.168.130.143;fe80::78f9:7c71:ef00:88d9;192.168.130.144;fe80::ceb0:dc10:ecb7:3117;10.17.19.183;10.17.19.167;10.17.19.132;10.17.19.128;10.17.19.124;10.17.19.84;10.17.19.81;10.17.19.72;10.17.19.51;10.17.18.161;10.17.18.110;10.17.18.109;10.17.18.108;10.17.18.107;10.17.18.64;10.17.18.49;10.17.18.41;10.17.19.149;fe80::9680:e600:12a2:af76,HICP6561A,Physical,TEPO,DBA,144 MB,CompatLevel150,Online,SQL Server 2019,Enterprise Edition: Core-based Licensing (64-bit),19658 MB,Yes,No,24,34866.2602901459 GB,524015 MB,171,Microsoft Windows Server 2019 Standard,2/20/2025 11:13:38 AM,2/11/2025 8:43:50 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,default_enterprise_reporting_d,12 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:00 AM,2/11/2025 8:43:53 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_purchase_proposal_db,12 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:12 AM,2/11/2025 8:43:55 PM
HICU6503C,192.168.130.219;fe80::f174:7a1c:a4b5:1be9;192.168.130.218;fe80::e8c2:bc78:3f4d:c42f;10.17.17.190;10.17.17.188;10.17.17.185;10.17.17.183;10.17.17.182;10.17.17.149;10.17.17.139;10.17.17.104;fe80::3dd6:fd96:4013:9624,HICU6503C,Physical,ECOM,OLRHOLIDEX,9074 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),234598 MB,Yes,No,28,8793.93500089645 GB,524015 MB,37,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:11 AM,2/11/2025 8:43:58 PM
